MMMV	SMILES	DISEASE
MMV161996	CC(C)CNS(=O)(=O)c1ccc(CCC(=O)Nc2ccc(Cl)cc2C)cc1	TUBERCULOSIS
MMV202458	COc1ccc(OC(C)C(=O)Nc2ccc(Cl)cc2C)cc1	TUBERCULOSIS
MMV676395	OC1=C(C(=O)Nc2cccnc2)C(=O)N3CCc4cccc1c34	TUBERCULOSIS
MMV676406	CC(C)n1ncc2c(cc(nc12)c3ccccc3)C(=O)NCC(N4CCOCC4)c5cccs5	TUBERCULOSIS
MMV153413	CCOC(=O)c1c(C)c(sc1NC(=O)c2c(F)c(F)c(F)c(F)c2F)C(=O)N	TUBERCULOSIS
MMV676468	NC(CC(=O)c1ccc(Cl)cc1Cl)C(Cl)(Cl)Cl	TUBERCULOSIS
MMV676478	O=C(C1CCN(CC1)c2nnc(s2)n3cccc3)N4CCC(Cc5ccccc5)CC4	TUBERCULOSIS
MMV090930	CCOC(=O)NC(=O)c1ccsc1NC(=O)c2nc3ccccc3s2	TUBERCULOSIS
MMV069458	FC(F)(F)c1nnc2ccc(Cl)nn12	TUBERCULOSIS
MMV676539	O=C(NCCc1c[nH]c2ccccc12)C3=Cc4ccccc4OC3=O	TUBERCULOSIS
MMV676571	COc1ccc(cc1OC)c2onc(n2)c3cccc(NC(=O)Cc4ccc(F)cc4)c3	TUBERCULOSIS
MMV676589	O=C(CCC1CCCCC1)Nc2cccc(c2)c3oc(nn3)c4occc4	TUBERCULOSIS
MMV676603	CC1COC2(CCN(CC2)C3=NC(=O)c4cc(cc(c4S3)[N+](=O)[O-])C(F)(F)F)O1	TUBERCULOSIS
MMV687145	CCCCS(=O)(=O)Nc1ccc2cnn(C)c2c1	TUBERCULOSIS
MMV687146	Cc1cc(C)c2cc([nH]c2c1)C(=O)NC3CCCCCCC3	TUBERCULOSIS
MMV687172	O=C(C1CCN(CC1)c2cc(ncn2)n3cccc3)N4CCc5ccccc5C4	TUBERCULOSIS
MMV687180	CCc1ccc(cc1)[C@@H]2C[C@@H](n3ncc(C(=O)NCc4ccc(OC)cc4)c3N2)C(F)(F)F	TUBERCULOSIS
MMV687239	CC(C)(C(=O)Nc1ccc(F)cc1)n2cc(cn2)c3ccccc3F	TUBERCULOSIS
MMV687696	CCc1nc2ccc(Cl)cn2c1C(=O)NCc3ccc(cc3)N4CCC(CC4)c5ccc(OC(F)(F)F)cc5	TUBERCULOSIS
MMV687813	Fc1cc(cc(F)c1C2=CCN(Cc3ccccc3)CC2)N4C[C@H](COc5ccon5)OC4=O	TUBERCULOSIS
MMV688262	CC1(COc2ccc(cc2)N3CCC(CC3)Oc4ccc(OC(F)(F)F)cc4)Cn5cc(nc5O1)N(=O)=O	TUBERCULOSIS
MMV688327	CC(=O)NCC1CN(C(=O)O1)c2ccc(c(F)c2)c3ccc(CNCc4cn[nH]n4)cc3	TUBERCULOSIS
MMV688508	CC(=O)NCC1CN(C(=O)O1)c2ccc(c(F)c2)c3ccc(CO)cc3	TUBERCULOSIS
